"00055edc1917.com","Uncategorized"
"005679.com","Business and Economy"
"011.com","Search Engines"
"020jinniu.com",
"021bababa.org","Adult and Pornography"
"028jes.com","Business and Economy"
"028xml.com","Business and Economy"
"03xxx.net","Adult and Pornography"
"0557667.com","Business and Economy"
"0769zhifu.com","Training and Tools"
"07770555.com","Internet Portals"
"08online.com",
"098825.com",
"0cili.org","Search Engines"
"0mag.net","Peer to Peer"
"0vzu.org","Business and Economy"
"1000bankov.ru","Financial Services"
"1004ya.net","Health and Medicine"
"100hub.com","Business and Economy"
"100parcels.com","Business and Economy"
"100percentdesign.co.uk","Society"
"1010tires.com","Motor Vehicles"
"1010wcsi.com","News and Media"
"101865.com","Business and Economy"
"102tube.com","Streaming Media"
"105666000.com","Uncategorized"
"105666444.com","Uncategorized"
"1069-2.com","Personal sites and Blogs"
"1069boys.xyz","Adult and Pornography"
"1097638.com","Parked Domains"
"10convert.com","Illegal"
"10minemail.com","Business and Economy"
"10minutemail.net","Web-based Email"
"10tv.com","News and Media"
"111bz.cc","Entertainment and Arts"
"111tt.icu",
"11510.net","Business and Economy"
"116okon.ru","Business and Economy"
"11717.tw",
"11828.cc","Society"
"1188.store","Gambling"
"11891.icu","Uncategorized"
"118ww.xyz",
"11alive.com","News and Media"
"11bit.co.in","Business and Economy"
"121ds.cc",
"121du.net",
"123186a.com","Gambling"
"123604.com","Gambling"
"1237bet.com","Uncategorized"
"123duw.com","Entertainment and Arts"
"123guestbook.com","Shareware and Freeware"
"123inkjets.com","Shopping"
"123ru.net","News and Media"
"123vid.top","Business and Economy"
"1279a.xyz",
"12bet.com","Gambling"
"12news.com","News and Media"
"12ve6kje0j3iv1.com","Parked Domains"
"1379a.xyz",
"13852.cyou","Uncategorized"
"1385a.xyz",
"139tu.com","Adult and Pornography"
"13newsnow.com","News and Media"
"13wmaz.com","News and Media"
"1412hd.net","Entertainment and Arts"
"141hongkong.com","Adult and Pornography"
"141jj.com","Adult and Pornography"
"144bet.com","Gambling"
"144bet2.com","Uncategorized"
"1559.com",
"15minutenews.com","News and Media"
"161669.com","Gambling"
"1625k.com","Business and Economy"
"1688.com.au","News and Media"
"168abc.net","Business and Economy"
"168pbet.com","Gambling"
"17.live","Parked Domains"
"177pica.com","Adult and Pornography"
"177picyy.com","Adult and Pornography"
"17te.com","Society"
"1800wheelchair.com","Motor Vehicles"
"188asia.com","Gambling"
"189393.site","Gambling"
"18avx.com","Adult and Pornography"
"18hanime.com","Adult and Pornography"
"18hotporn.click","Dead Sites"
"18insta.com","Adult and Pornography"
"18j.tv",
"18pfun.com","Adult and Pornography"
"18sex.org","Adult and Pornography"
"18sexual.fun","Adult and Pornography"
"18teenporno.tv","Adult and Pornography"
"18teensex.me","Adult and Pornography"
"18xingtv.cc","Adult and Pornography"
"1919gogo.com","Adult and Pornography"
"193644.com","Gambling"
"19fortyfive.com","News and Media"
"1anime.me","Adult and Pornography"
